,Kanji,Meaning,Radicals,Sound
5,通る,to go by,Pass Through,とお
6,通う,to go to and from (a place),Pass Through,かよ
7,通り,street,Pass Through,とお
8,通す,to stick through,Pass Through,とお
4,週末,weekend,Week + End,しゅうまつ
5,隔週,every other week,Isolate + Week,かくしゅう
0,強盗,robber,Strong + Steal,ごうとう
1,勉強,study,Exertion + Strong,べんきょう
2,強い,strong,Strong,つよ
3,強制,compulsion,Strong + Control,きょうせい
5,強調,emphasis,Strong + Investigate,きょうちょう
6,強烈,strong,Strong + Violent,きょうれつ
7,傲慢,haughty,Proud + Ridicule,ごうまん
0,番組,program (e.g. TV),Number In A Series + Group,ばんぐみ
1,組織,organization,Group + Weave,そしき
2,枠組み,frame,Frame + Group,わくぐ
1,必ず,always,Certain,かなら
3,必需品,necessities,Certain + Demand + Product,ひつじゅひん
4,必須,indispensable,Certain + Necessary,ひっす
5,必至,inevitable,Certain + Attain,ひっし
6,必須条件,essential condition,Certain + Necessary + Clause + Matter,ひっすじょうけん
0,家族,family,House + Tribe,かぞく
1,家庭,home,House + Garden,かてい
3,屋根,roof,Roof + Root,やね
4,家具,furniture,House + Tool,かぐ
5,家事,housework,House + Action,かじ
6,馬鹿,idiot,Horse + Deer,
7,家畜,domestic animals,House + Livestock,かちく
8,家賃,rent,House + Rent,やちん
9,家政婦,housekeeper,House + Politics + Wife,かせいふ
10,建築家,architect,Build + Construct + House,けんちくか
11,芸術家,artist,Acting + Art + House,げいじゅつか
13,借家,rented house,Borrow + House,しゃくや
14,隣家,neighbouring house,Neighbor + House,りんか
0,荷札,label,Luggage + Bill,にふだ
2,値札,price tag,Value + Bill,ねふだ
4,御札,amulet or talisman issued by a Shinto shrine or Buddhist temple,Honorable + Bill,おふだ
2,イカ,cuttlefish,,
3,魚雷,torpedo,Fish + Thunder,ぎょらい
4,魚屋,fish market,Fish + Roof,さかなや
5,鮮魚,fresh fish,Fresh + Fish,せんぎょ
2,焼き鳥,yakitori,Bake + Bird,やとり
3,鳥肌,gooseflesh,Bird + Skin,とりはだ
0,風船,balloon (toy or decoration),Wind + Boat,ふうせん
1,漁船,fishing boat,Fishing + Boat,ぎょせん
2,船舶,vessel,Boat + Ship,せんぱく
3,汽船,steamship,Steam + Boat,きせん
4,船員,sailor,Boat + Member,せんいん
5,船酔い,seasickness,Boat + Drunk,ふなよ
6,貨物船,freighter (vessel),Freight + Thing + Boat,かもつせん
7,宇宙船,spaceship,Outer Space + Mid Air + Boat,うちゅうせん
8,船体,hull,Boat + Body,せんたい
9,帆船,sailing ship,Sail + Boat,はんせん
10,小舟,small boat,Boat,こぶね
11,艦船,warships and other vessels,Warship + Boat,かんせん
1,硫黄,sulfur (S),Sulfur + Yellow,いおう
2,胡瓜,cucumber (Cucumis sativus),Barbarian + Melon,きゅうり
1,理由,reason,Reason + Reason,りゆう
3,依る,to be due to,Reliant,よ
4,高校,senior high school,Tall + School,こうこう
7,校閲,revision,School + Inspection,こうえつ
1,高い,high,Tall,たか
4,最高,best,Most + Tall,さいこう
5,高級,high-class,Tall + Rank,こうきゅう
6,高等,high class,Tall + Equal,こうとう
7,高尚,high,Tall + Furthermore,こうしょう
8,高さ,height,Tall,たか
9,高齢者,old person,Tall + Age + Someone,こうれいしゃ
11,崇高,lofty,Worship + Tall,すうこう
12,高騰,sharp rise (in prices),Tall + Inflation,こうとう
13,高値,high price,Tall + Value,たかね
0,失恋,disappointed love,Fault + Romance,しつれん
1,失敗,failure,Fault + Failure,しっぱい
3,失望,disappointment,Fault + Hope,しつぼう
5,喪失,loss,Mourning + Fault,そうしつ
7,大失敗,complete failure,Fault + Failure,だいしっぱい
8,遺失,loss,Leave Behind + Fault,いしつ
0,辺り,(in the) neighbourhood,Area,あた
1,浜辺,beach,Beach + Area,はまべ
2,普遍,universal,Normal + Universal,ふへん
3,この辺,this area,Area,へん
1,紙幣,paper money,Paper + Cash,しへい
2,折り紙,origami,Fold + Paper,おがみ
3,壁紙,wallpaper,Wall + Paper,かべがみ
0,時間,time,Time + Interval,じかん
4,時刻表,timetable,Time + Carve + Express,じこくひょう
5,時期,time,Time + Period Of Time,じき
8,臨時,temporary,Look To + Time,りんじ
9,時差,time difference,Time + Distinction,じさ
10,腕時計,wristwatch,Arm + Time + Measure,うでどけい
11,時限,(school) period,Time + Limit,じげん
13,随時,whenever necessary,All + Time,ずいじ
14,瞬時,instant,Blink + Time,しゅんじ
17,潮時,tidal hour,Tide + Time,しおどき
0,味噌,miso,Flavor + Boisterous,みそ
2,未婚,unmarried,Not Yet + Marriage,みこん
3,未熟,unripe,Not Yet + Ripen,みじゅく
4,未だ,still,Not Yet,ま
5,未遂,"failed attempt (at a crime, suicide, etc.)",Not Yet + Accomplish,みすい
6,未決,pending,Not Yet + Decide,みけつ
0,寄付,contribution,Approach + Attach,きふ
1,付ける,to attach,Attach,つ
2,受付,reception (desk),Accept + Attach,うけつけ
4,付く,to be attached,Attach,つ
5,追いつく,to catch up (with),Follow,お
8,落ち着く,to calm down,Fall + Wear,おつ
9,付き,furnished with,Attach,つ
11,顔つき,(outward) looks,Face,かお
12,傷つく,to be wounded,Wound,きず
13,傷つける,to wound,Wound,きず
14,添付,"attaching (documents, etc.)",Append + Attach,てんぷ
0,風邪,(common) cold,Wind + Wicked,かぜ
2,お風呂,bath,Wind + Bath,ふろ
4,扇風機,electric fan,Folding Fan + Wind + Machine,せんぷうき
5,風呂屋,public bathhouse,Wind + Bath + Roof,ふろや
6,風潮,tide,Wind + Tide,ふうちょう
7,旋風,whirlwind,Rotation + Wind,せんぷう
8,風呂場,bathroom,Wind + Bath + Location,ふろば
9,和風,Japanese style,Peace + Wind,わふう
10,洋風,Western style,Western Style + Wind,ようふう
1,記録,record,Write Down + Record,きろく
2,記憶,memory,Write Down + Recollection,きおく
3,記事,article,Write Down + Action,きじ
4,暗記,memorization,Dark + Write Down,あんき
5,伝記,biography,Transmit + Write Down,でんき
6,記述,description,Write Down + Mention,きじゅつ
7,記載,mention (in a document),Write Down + Publish,きさい
9,記念碑,commemorative plaque (usu. on a stone),Write Down + Thought + Tombstone,きねんひ
1,欠席,absence,Lack + Seat,けっせき
2,欠陥,defect,Lack + Cave In,けっかん
3,欠ける,to chip,Lack,か
4,欠伸,yawn,Lack + Stretch,あくび
6,欠乏,deficiency,Lack + Scarce,けつぼう
7,欠かす,to miss (doing),Lack,か
8,欠如,lack,Lack + Likeness,けつじょ
1,源氏,Genji (the character in the Genji Monogatari),Origin + Family Name,げんじ
2,摂氏,Celsius,In Addition + Family Name,せっし
3,彼氏,boyfriend,He + Family Name,かれし
4,源氏物語,The Tale of Genji (Heian-period classic),Origin + Family Name + Thing + Language,げんじものがたり
0,料理,cooking,Fee + Reason,りょうり
1,理解,understanding,Reason + Untie,りかい
3,理論,theory,Reason + Theory,りろん
4,無理,unreasonable,Nothing + Reason,むり
6,理性,reason,Reason + Gender,りせい
7,義理,duty,Righteousness + Reason,ぎり
8,修理,repair,Discipline + Reason,しゅうり
9,処理,processing,Deal With + Reason,しょり
10,管理,control,Pipe + Reason,かんり
11,整理,sorting,Arrange + Reason,せいり
14,理屈,theory,Reason + Yield,りくつ
15,論理,logic,Theory + Reason,ろんり
16,推理,reasoning,Infer + Reason,すいり
19,倫理,ethics,Ethics + Reason,りんり
20,総理,prime minister (as the head of a cabinet government),Whole + Reason,そうり
21,倫理的,ethical,Ethics + Reason + Target,りんりてき
1,移民,immigration,Shift + Peoples,いみん
2,民族,people,Peoples + Tribe,みんぞく
3,住民,inhabitant,Dwelling + Peoples,じゅうみん
4,農民,farmer,Farming + Peoples,のうみん
5,庶民,common people,All + Peoples,しょみん
6,民謡,folk song,Peoples + Noh Chanting,みんよう
9,庶民的,popular,All + Peoples + Target,しょみんてき
10,民俗,folk customs,Peoples + Vulgar,みんぞく
0,郵便局,post office,Mail + Convenience + Bureau,ゆうびんきょく
1,結局,after all,Bind + Bureau,けっきょく
2,支局,branch office,Support + Bureau,しきょく
1,医師,doctor,Medicine + Teacher,いし
2,医療,medical treatment,Medicine + Heal,いりょう
3,医者,doctor,Medicine + Someone,いしゃ
4,歯医者,dentist,Tooth + Medicine + Someone,はいしゃ
5,獣医,veterinarian,Beast + Medicine,じゅうい
4,順番,order,Order + Number In A Series,じゅんばん
5,留守番,care-taking,Detain + Protect + Number In A Series,るすばん
0,住所,address,Dwelling + Place,じゅうしょ
1,住む,to live (of humans),Dwelling,す
3,住宅,residence,Dwelling + House,じゅうたく
4,移住,migration,Shift + Dwelling,いじゅう
6,移住者,emigrant,Shift + Dwelling + Someone,いじゅうしゃ
0,解決,settlement,Untie + Decide,かいけつ
1,決める,to decide,Decide,き
2,決まる,to be decided,Decide,き
4,決定,decision,Decide + Determine,けってい
5,採決,vote,Gather + Decide,さいけつ
6,否決,rejection,No + Decide,ひけつ
7,取り決め,decision,Take + Decide,とき
8,決裂,"breakdown (of talks, negotiations, etc.)",Decide + Split,けつれつ
2,劇場,theatre,Drama + Location,げきじょう
3,農場,farm (agriculture),Farming + Location,のうじょう
4,牧場,farm (livestock),Pasture + Location,ぼくじょう
5,場所,place,Location + Place,ばしょ
6,場合,case,Location + Suit,ばあい
7,現場,actual spot,Present Time + Location,げんば
8,場面,scene,Location + Face,ばめん
10,磁場,magnetic field,Magnet + Location,じば
11,職場,one's post,Employment + Location,しょくば
12,戦場,battlefield,War + Location,せんじょう
13,乗り場,place for boarding vehicles,Ride + Location,のば
16,墓場,graveyard,Grave + Location,はかば
17,穴場,good place not many people know about,Hole + Location,あなば
18,役場,town hall,Service + Location,やくば
2,助詞,particle,Help + Part Of Speech,じょし
3,助ける,to save,Help,たす
4,援助,assistance,Aid + Help,えんじょ
5,助かる,to be saved,Help,たす
7,扶助,aid,Aid + Help,ふじょ
0,独身,unmarried,Alone + Body,どくしん
1,刺身,"sashimi (raw sliced fish, shellfish or crustaceans)",Stab + Body,さしみ
5,身振り,gesture,Body + Shake,みぶ
8,終身刑,life imprisonment,End + Body + Punish,しゅうしんけい
0,電話,telephone call,Electricity + Talk,でんわ
2,話題,topic,Talk + Topic,わだい
3,話す,to talk,Talk,はな
4,童話,children's story,Juvenile + Talk,どうわ
5,電話帳,telephone book,Electricity + Talk + Notebook,でんわちょう
6,携帯電話,mobile phone,Portable + Belt + Electricity + Talk,けいたいでんわ
7,逸話,anecdote,Deviate + Talk,いつわ
8,昔話,old tale,Long Ago + Talk,むかしばなし
1,楽しい,enjoyable,Comfort,たの
2,楽器,musical instrument,Comfort + Container,がっき
3,楽しむ,to enjoy,Comfort,たの
4,楽しみ,enjoyment,Comfort,たの
5,楽譜,score,Comfort + Genealogy,がくふ
6,娯楽,amusement,Recreation + Comfort,ごらく
7,落書き,scrawl,Fall + Write,らくが
8,快楽,pleasure,Pleasant + Comfort,かいらく
9,管弦楽団,orchestra,Pipe + Chord + Comfort + Group,かんげんがくだん
10,極楽,Sukhavati (Amitabha's Pure Land),Extreme + Comfort,ごくらく
11,楽勝,easy victory,Comfort + Win,らくしょう
5,停電,power outage,Halt + Electricity,ていでん
7,電柱,utility pole,Electricity + Pillar,でんちゅう
8,電波,radio wave,Electricity + Wave,でんぱ
9,電灯,electric light,Electricity + Lamp,でんとう
10,電源,source of electricity,Electricity + Origin,でんげん
11,電卓,calculator (electronic),Electricity + Table,でんたく
14,充電,charging (electrically),Allocate + Electricity,じゅうでん
15,終電,last train (of the day),End + Electricity,しゅうでん
16,電子機器,electronic device,Electricity + Machine + Container,でんしきき
0,諸君,you (people),Various + Buddy,しょくん
2,朝ご飯,breakfast,Morning + Meal,あさはん
3,朝寝坊,sleeping late in the morning,Morning + Lie Down + Monk,あさねぼう
5,朝霧,morning fog,Morning + Fog,あさぎり
6,翌朝,next morning,The Following + Morning,よくあさ
7,朝刊,morning edition (of a daily newspaper),Morning + Edition,ちょうかん
3,合う,to come together,Suit,あ
4,間に合う,to be in time (for),Interval + Suit,まあ
7,都合,circumstances,Metropolis + Suit,つごう
8,割合,rate,Divide + Suit,わりあい
10,合格,passing (an exam),Suit + Status,ごうかく
12,合わせる,"to match (rhythm, speed, etc.)",Suit,あ
13,合計,sum total,Suit + Measure,ごうけい
14,似合う,to suit,Resemble + Suit,にあ
16,統合,integration,Unite + Suit,とうごう
17,総合,synthesis,Whole + Suit,そうごう
18,併合,merger,Join + Suit,へいごう
19,沖合,off the coast,Open Sea + Suit,おきあい
21,合唱団,chorus group,Suit + Chant + Group,がっしょうだん
22,融合,agglutination,Dissolve + Suit,ゆうごう
0,研究,research,Sharpen + Research,けんきゅう
2,磨く,to polish,Polish,みが
3,研修,training (esp. in-service),Sharpen + Discipline,けんしゅう
4,磨き,polish,Polish,みが
5,研究所,research institute,Sharpen + Research + Place,けんきゅうじょ
2,究極,ultimate,Research + Extreme,きゅうきょく
3,探究,research,Look For + Research,たんきゅう
6,極める,to carry to extremes,Extreme,きわ
1,じゃが芋,potato (Solanum tuberosum),Potato,いも
0,返す,to return (something),Return,かえ
1,反省,reflection,Anti + Conserve,はんせい
2,反対,opposition,Anti + Versus,はんたい
3,反応,reaction,Anti + Respond,はんのう
4,反響,echo,Anti + Echo,はんきょう
5,反射,reflection,Anti + Shoot,はんしゃ
6,違反,violation,Different + Anti,いはん
7,反抗,opposition,Anti + Confront,はんこう
8,却って,on the contrary,Contrary,かえ
9,返る,to return,Return,かえ
0,買い物,shopping,Buy + Thing,かもの
1,買う,to buy,Buy,か
0,対象,target,Versus + Elephant,たいしょう
2,絶対,absolutely,Extinction + Versus,ぜったい
3,対策,measure,Versus + Plan,たいさく
5,対応,correspondence (to),Versus + Respond,たいおう
6,対等,equality (esp. of status),Versus + Equal,たいとう
7,対談,talk,Versus + Discuss,たいだん
8,対比,contrast,Versus + Compare,たいひ
11,対称,symmetry,Versus + Title,たいしょう
0,支払い,payment,Support + Pay,しはら
3,支える,to support,Support,ささ
4,支援,support,Support + Aid,しえん
0,投票,voting,Throw + Ballot,とうひょう
1,投資,investment,Throw + Resources,とうし
2,投げる,to throw,Throw,な
4,投稿,"contribution (to a newspaper, magazine, etc.)",Throw + Draft,とうこう
0,患者,patient,Afflicted + Someone,かんじゃ
